title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"Estrogenic Activity of Tetrazole Derivatives Bearing Bisphenol Structures: Computational Studies, Synthesis, and In Vitro Assessment",10.1021/acs.jcim.1c01077,2022,bisphenol A,"The abstract explicitly presents tetrazole derivatives bearing bisphenol structures (TbB) as novel weak binders or potentially inactive to estrogen and androgen receptors, indicating lower endocrine disruption potential compared to bisphenol A (BPA). The biological testing showed TbB ligands had significantly lower binding affinity (less than 15% inhibition) compared to BPA (IC50 0.24 μM), suggesting a safety advantage. Therefore, TbB compounds are identified as privileged prospective BPA replacements with potential safety benefits.",tetrazole derivatives bearing bisphenol structures (TbB),endocrine disruption
High Glass Transition PEcBT and PEPecBT Copolyesters Synthesized by Direct Esterification Route,10.1002/app.56781,2025,bisphenol A,"The abstract explicitly states that CBDO-based copolyesters like PCcBT have been commercialized to replace bisphenol A polycarbonate in food contact applications due to their high transparency, heat-resistance, and safety, indicating a safer alternative. The new PEcBT copolyesters synthesized aim to improve synthesis robustness and thermal stability while maintaining these advantages, supporting the claim of a safer alternative to bisphenol A.","1,4-cyclohexanedimethanol (CHDM)-based copolyesters; CBDO-based copolyesters",
"Detection of bisphenol A, cumylphenol and parabens in surface waters of Greater Poland Voivodeship.",10.1016/j.jenvman.2017.08.034,2017,bisphenol A,"The abstract compares methylparaben (MP) to bisphenol A (BPA) and states that MP's endocrine properties are much lower than those of BPA, posing a lower environmental impact potential. This indicates that MP can be considered a safer alternative to BPA. No other substances are explicitly described as safer alternatives.",methylparaben (MP),endocrine disruption
Antioxidant CoQ10 Restores Fertility by Rescuing Bisphenol A-Induced Oxidative DNA Damage in the Caenorhabditis elegans Germline,10.1534/genetics.119.302939,2019,bisphenol A,"The abstract presents Coenzyme Q10 (CoQ10) as a natural antioxidant that rescues BPA-induced reproductive toxicity by neutralizing oxidative DNA damage and reducing various BPA-induced defects. It suggests CoQ10 as a low-risk and low-cost strategy to attenuate BPA's impact on fertility, implying a safety advantage as a protective agent against BPA toxicity.",Coenzyme Q10 (CoQ10),"endocrine disruption, reprotoxicity, DNA damage from oxidative stress, germ cell apoptosis, double-strand breaks (DSBs), chromosome defects, oxidative stress, mitochondrial dysfunction, aneuploid embryos, defects in early embryonic divisions"
Challenges and Opportunities in the Catalytic Synthesis of Diphenolic Acid and Evaluation of Its Application Potential,10.3390/molecules29010126,2023,bisphenol A,"The abstract explicitly states that diphenolic acid is a valuable candidate for the replacement of bisphenol A, which is questioned for its toxicological issues, implying a safety advantage. This indicates diphenolic acid as a safer alternative to bisphenol A.",diphenolic acid,toxicological issues
Low shrinkage bulk-filled dental resin composites with non-estrogenic dimethacrylate.,10.1039/d3bm00154g,2023,bisphenol A,"The abstract explicitly compares the nonestrogenic di(meth)acrylate Bis-EFMA to commercial bisphenol A-based materials, highlighting its nonestrogenic activity and excellent biocompatibility, which implies a safety advantage. It states that Bis-EFMA is a novel nonestrogenic alternative to Bis-GMA, a bisphenol A derivative, indicating it is a safer alternative.",Bis-EFMA,
Thermal and Fire Behavior of a Bio-Based Epoxy/Silica Hybrid Cured with Methyl Nadic Anhydride,10.3390/polym12081661,2020,bisphenol A,"The abstract explicitly states that sugar-derived diepoxy monomers and anhydrides represent a sustainable greener alternative to bisphenol A (BPA) and aromatic amines. It highlights safety advantages such as prevention of melt dripping, high char-forming character, decreased heat release rate, and reduced smoke parameters in the bio-based epoxy system (BOMF/MNA) compared to BPA-based systems, indicating a safer alternative.",sugar-derived diepoxy monomers; anhydrides,harmful impact on human health
Characterizing properties of non-estrogenic substituted bisphenol analogs using high throughput microscopy and image analysis,10.1371/journal.pone.0180141,2017,bisphenol A,"The abstract explicitly compares several substituted bisphenol derivatives and hydroquinone to bisphenol A, showing that compounds like Bisguaiacol F, TM-BFP-ER, and TM-BPF-DGE have very limited estrogen-like or androgen-like activity and low potential for endocrine disruption. It states these tested compounds could be suitable commercially viable alternatives to BPA, indicating a safety advantage in terms of endocrine activity.",Bisguaiacol F; TM-BFP-ER; TM-BPF-DGE,endocrine disruption
Biobased Vitrimeric Epoxy Networks,10.1002/mame.202300371,2023,bisphenol A,"The abstract explicitly mentions that biomass resources such as lignin, cellulose, or vegetable oils can be exploited as biobased building blocks for epoxy thermosets as an alternative to bisphenol A-based ones. This indicates a safer alternative since it highlights the use of biorenewable resources instead of bisphenol A. However, the abstract does not explicitly state safety advantages such as lower toxicity or environmental risk, only that these are alternatives.",lignin; cellulose; vegetable oils,
"Bisphenol A(BPA), BPS and BPB-induced oxidative stress and apoptosis mediated by mitochondria in human neuroblastoma cell lines.",10.1016/j.ecoenv.2020.111299,2020,bisphenol A,"The abstract states that BPS showed lower neurotoxic effects compared to BPA and BPB, indicating a safety advantage. This suggests BPS may be a safer alternative to BPA in terms of neurotoxicity.",bisphenol S (BPS),"neurotoxicity, oxidative stress, apoptosis induction, mitochondrial dysfunction, sex-specific susceptibility (higher in males)"
