title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
2-[(Hydroxymethyl)amino]ethanol in water as a preservative: Study of formaldehyde released by Taguchi's method,10.1088/1755-1315/36/1/012049,2016,formaldehyde,"The abstract studies 2-[(hydroxymethyl)amino]ethanol (HAE) as a preservative and measures the formaldehyde released from it. It states that HAE can be used to replace current preservative systems and that its use reduces environmental toxicity. This indicates a safety advantage over formaldehyde-based preservatives, presenting HAE as a safer alternative.",2-[(hydroxymethyl)amino]ethanol (HAE),
Borax-Based Gel Electrophoresis: A Novel Approach for RNA Integrity Analysis,10.1101/2025.02.11.637722,2025,formaldehyde,"The abstract explicitly states that the borax-based gel electrophoresis method offers enhanced safety compared to traditional formaldehyde-based methods, indicating a safety advantage. It presents borax as a compelling alternative to formaldehyde for RNA analysis with simplified protocols and reduced electrophoresis time, clearly positioning borax as a safer alternative.",borax,
Towards the Removal of HMTA Molecules in the Chemical Bath Deposition of ZnO Nanowires,10.3390/nano15201574,2025,formaldehyde,"The abstract discusses replacing hexamethylenetetramine (HMTA), which forms harmful formaldehyde, with ammonia in the high-pH region for ZnO nanowire synthesis. It states that this substitution removes HMTA and is a step towards green chemistry, implying a safer alternative to formaldehyde-forming HMTA.",ammonia,"formaldehyde as a harmful substance raises health, environment, and regulation issues"
What do we need to know about hair straightening?,10.18203/issn.2455-4529.intjresdermatol20213356,2021,formaldehyde,"The abstract mentions that salon-based hair straighteners evolved to formaldehyde-free hair strengthening procedures like hair Botox, which reduces chemical damage and maintains natural hair waves. This indicates that hair Botox is presented as a safer alternative to formaldehyde-based products.",hair Botox,
Kualitas Fisis Kulit Ikan Lencam (Lethrinus lentjan) dengan Penyamakan Menggunakan Glutaraldehyde,10.36706/fishtech.v12i1.17087,2023,formaldehyde,The abstract explicitly states that glutaraldehyde is considered a safer and more environmentally friendly alternative tanning agent compared to formaldehyde. It directly compares the two substances and highlights glutaraldehyde as a substitute with safety advantages.,glutaraldehyde,
3D-Printed PLA Medical Devices: Physicochemical Changes and Biological Response after Sterilisation Treatments,10.3390/polym14194117,2022,formaldehyde,"The abstract compares several sterilisation techniques for 3D-printed PLA devices, including low temperature steam with formaldehyde (LTSF). It highlights gamma irradiation (GR) as the least reactive technique with good biological response and no toxicity, implying a safety advantage over LTSF which involves formaldehyde. Thus, GR sterilisation can be reasonably interpreted as a safer alternative to formaldehyde-based sterilisation.",gamma irradiation (GR),
Glyoxal as an alternative fixative to formaldehyde in immunostaining and super‐resolution microscopy,10.15252/embj.201695709,2017,formaldehyde,"The abstract explicitly states that glyoxal is less toxic than paraformaldehyde (PFA, a polymer of formaldehyde) and can successfully replace it as a fixative. It highlights glyoxal's improved efficiency and better preservation of cellular morphology, supporting its use as a safer alternative to formaldehyde-based fixatives.",glyoxal,
"No-Aldehydes Glucose/Sucrose-Triacetin-Diamine Wood Adhesives for
Particleboard",10.32604/jrm.2020.010882,2020,formaldehyde,"The abstract presents a wood adhesive system that does not contain any aldehyde and results in extremely low formaldehyde emission, indicating a safety advantage over formaldehyde-based adhesives. This glucose/sucrose-triacetin-diamine system is explicitly described as an alternative adhesive with lower formaldehyde emissions, implying it is a safer alternative to formaldehyde.",glucose/sucrose-triacetin-diamine,
Glucose-lignin-based phenolic resin: an environmentally friendly low-formaldehyde wood adhesive,10.1108/prt-12-2022-0150,2023,formaldehyde,"The abstract explicitly states that the glucose-lignin-based phenolic resin (GLPF) is low-formaldehyde and environmentally friendly, with lower free formaldehyde and formaldehyde emission compared to conventional phenolic resins. It highlights that lignin is used to substitute formaldehyde and that GLPF has safety advantages beneficial to human health, indicating it as a safer alternative to formaldehyde-based adhesives.",glucose-lignin-based phenolic resin (GLPF); lignin,
Fire Resistant Adhesive from Chitosan,10.1021/acs.biomac.4c01467,2025,formaldehyde,"The abstract explicitly states that a chitosan-acid mixture is used as a replacement for formaldehyde-containing resins in engineered wood and describes it as a nontoxic adhesive, implying a safety advantage over formaldehyde. It highlights the low toxicity and fire protection benefits of the chitosan-based adhesive, supporting it as a safer alternative to formaldehyde-containing adhesives.",chitosan,
Performance evaluation of guar gum and conventional binders based fire‐extinguishing aerosol‐forming composites,10.1002/fam.3144,2023,formaldehyde,"The abstract compares guar gum, a natural binder, with phenol–formaldehyde resin and other conventional binders in pyrotechnic mixtures. It highlights that guar gum is a preferred binder based on safety and performance characteristics, implying it has safety advantages over phenol–formaldehyde resin. This suggests guar gum is a safer alternative to formaldehyde-based binders.",guar gum,
