title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
TEKANAN UAP (VAPOR PRESSURE) UNTUK CAMPURAN 2-BUTANOL + DIETHYL CARBONATE DAN TERT-BUTANOL + DIETHYL CARBONATE,10.36055/JIP.V7I2.4488,2018,tert-butyl methyl ether,"The abstract explicitly states that diethyl carbonate (DEC) can be used as an alternative to methyl tert-butyl ether (MTBE) as an octane booster and describes DEC as an environmentally friendly chemical with high octane value. It also mentions that mixtures of alcohols and DEC are expected to be better octane boosters than MTBE, implying safety and environmental advantages over MTBE.",diethyl carbonate,"environmental pollution of soil, carcinogenic potential"
Comparison of Single Phase and Biphasic Extraction Protocols for Lipidomic Studies Using Human Plasma,10.3389/fneur.2019.00879,2019,tert-butyl methyl ether,"The abstract compares the single-phase methanol/1-butanol (Alshehry) method to the methanol/tert-butyl methyl ether (MTBE) method and states that the Alshehry method is highly reproducible, safer, and more environmentally friendly. This explicitly indicates that the Alshehry method is a safer alternative to tert-butyl methyl ether.",methanol/1-butanol (Alshehry) method,
IMPROVING THE ENVIRONMENTALITY OF MOTOR GASOLINE,10.20998/2078-5364.2022.1.01,2022,tert-butyl methyl ether,"The abstract compares 1,3-diphenyltriazene with oxygenates including methyl tert-butyl ether and shows that 1,3-diphenyltriazene reduces exhaust gas toxicity by 24% for CO and 17% for CH, and does not worsen gasoline evaporation or stability. This indicates a safety advantage over methyl tert-butyl ether as an additive in gasoline.","1,3-diphenyltriazene",
Superior gallstone dissolubility and safety of tert-amyl ethyl ether over methyl-tertiary butyl ether,10.3748/wjg.v25.i39.5936,2019,tert-butyl methyl ether,"The abstract explicitly compares tert-amyl ethyl ether (TAEE) to methyl-tertiary butyl ether (MTBE) and states that TAEE has higher gallstone dissolubility and lower toxicity, indicating better safety. It concludes that TAEE could be an attractive alternative to MTBE based on these safety and efficacy advantages.",tert-amyl ethyl ether (TAEE),toxicity
PRODUCTION CONVERSION METHYL TERT-BUTYL ETHER FOR ETHYL TERT-BUTYL ETHER,10.25699/sssb.2024.53.1.004,2024,tert-butyl methyl ether,"The abstract explicitly states that ETBE is a new environmentally friendly oxygenate that can be produced as a replacement for MTBE (methyl tert-butyl ether) without changing the existing technology. It highlights ETBE as an alternative with ecological safety advantages compared to MTBE, which is noted to have several disadvantages. Thus, ETBE is presented as a safer alternative to tert-butyl methyl ether.",ethyl tert-butyl ether (ETBE),
Efficiency of oxygenates on increase of octane number of reforming gasoline,10.37878/2708-0080/2024-3.11,2024,tert-butyl methyl ether,"The abstract compares dimethyl ethynylcarbinol (DMEK) with methyl tert-butyl ether (MTBE, a tert-butyl methyl ether) and states that DMEK not only increases the octane number more than MTBE but also reduces the toxicity of gasoline and exhaust gases. This clearly indicates that DMEK is presented as a safer alternative to tert-butyl methyl ether.",dimethyl ethynylcarbinol (DMEK),
Multicomponent bioactive extract from red stage Haematococcus pluvialis wet paste: avoiding the drying step and toxic solvents,10.1007/s10811-022-02712-3,2022,tert-butyl methyl ether,"The abstract compares solvents including methyl-tert-butyl ether (MTBE), a toxic solvent, with generally recognized as safe (GRAS) solvents such as ethanol, ethyl lactate, and ethyl acetate. It highlights ethanol as a GRAS solvent with no food use limitations and comparable antioxidant activity to the synthetic petrochemical alternative (MTBE), implying ethanol is a safer alternative to MTBE.",ethanol; ethyl lactate; ethyl acetate,
Bypassing Osmotic Shock Dilemma in a Polystyrene Resin Using the Green Solvent Cyclopentyl methyl Ether (CPME): A Morphological Perspective,10.3390/polym11050874,2019,tert-butyl methyl ether,"The abstract explicitly states that cyclopentyl methyl ether (CPME) is clearly better than tert-butyl methyl ether and hazardous diethyl ether, indicating a safety advantage. It also refers to CPME as a green solvent, supporting its characterization as a safer alternative to tert-butyl methyl ether in the context of solid-phase peptide synthesis.",cyclopentyl methyl ether (CPME),hazardous
Evaluation of Extraction Techniques for Recovery of Microalgal Lipids under Different Growth Conditions,10.1021/acsomega.4c00221,2024,tert-butyl methyl ether,"The abstract explicitly suggests MTBE:methanol:water as an alternative to replace hazardous solvent mixtures for TAGs extraction with a much lower environmental impact, indicating a safety advantage over conventional solvents. Since MTBE is mentioned as part of the mixture and the mixture is described as having a much lower environmental impact, it implies a safer alternative to tert-butyl methyl ether alone.",MTBE:methanol:water mixture,
A Review on the Sorghum for biofuel and microRNAs,10.19045/BSPAB.2016.50131,2016,tert-butyl methyl ether,"The abstract states that bioethanol produced from sorghum replaces MTBE (Methyl tert-butyl ether) pollutants in air and is considered environmentally friendly, implying a safety advantage over MTBE. This indicates sorghum-based bioethanol as a safer alternative to tert-butyl methyl ether.",bioethanol,
