title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Poly(Alkyl Glycidate Carbonate)s as Degradable Pressure-Sensitive Adhesives.,10.1002/anie.201811894,2019,butyl acrylate,"The abstract indicates that the poly(carbonate) analogues are environmentally friendly and biocompatible alternatives to poly(butyl acrylate), suggesting safety advantages. It also mentions that these analogues degrade into less harmful substances compared to poly(acrylate)s, which implies a safer profile.",poly(carbonate) analogues,
Biosourced All-Acrylic ABA Block Copolymers with Lactic Acid-Based Soft Phase,10.3390/molecules25235740,2020,butyl acrylate,"The abstract discusses the preparation of poly(butyl lactate acrylate) as a sustainable alternative, highlighting its low toxicity and suitability for functional materials. While it does not explicitly state that it is safer than butyl acrylate, the mention of low toxicity suggests a safety advantage, which can be interpreted as a safer alternative in the context of typical applications involving butyl acrylate.",poly(butyl lactate acrylate),
Sustainable and Recyclable Acrylate Resins for Liquid-Crystal Display 3D Printing Based on Lipoic Acid.,10.1021/acsmacrolett.4c00600,2024,butyl acrylate,"The abstract discusses the development of renewable vinyl-based photopolymer resins that incorporate a bifunctional lipoate cross-linker, which suggests a safer alternative to conventional materials used in 3D printing, including butyl acrylate. It highlights advantages such as self-healing capabilities, complete degradability, and recyclability, which imply a reduction in environmental impact and potential safety benefits compared to butyl acrylate.",bifunctional lipoate cross-linker,
Investigation of the Effect of Particle Surface Charge and Dispersion Stability on Latex Behavior in Cement Using Non-Ionic and Traditional Latexes,10.3390/ma15176145,2022,butyl acrylate,"The abstract presents a novel total non-ionic polystyrene-polyurethane (PS-PU) composite latex as a replacement for traditional styrene-butyl acrylate latex (St-BA). It highlights several advantages of PS-PU, such as superior dispersion stability, milder retardation effects, and less adverse impact on compressive strength, which can be interpreted as safety advantages over butyl acrylate. Therefore, PS-PU can be considered a safer alternative to butyl acrylate.",polystyrene-polyurethane (PS-PU) composite latex,
The use of biodiesel as a green polymerization solvent at elevated temperatures,10.1002/PI.2413,2008,butyl acrylate,"The abstract indicates that canola-based FAME (biodiesel) is used as a polymerization solvent and describes it as an 'environmentally friendly alternative to common solvents.' This suggests that FAME is a safer option compared to traditional solvents, which likely includes butyl acrylate, although it does not explicitly state a direct comparison. The ecological benefits imply lower toxicity and environmental risks, which align with the criteria for a safer alternative.",,
Hydration Mechanism in Blood-Compatible Polymers Undergoing Phase Separation.,10.1021/acs.langmuir.1c02672,2022,butyl acrylate,"The abstract compares blood-compatible poly(2-methoxyethyl acrylate) with non-blood-compatible poly(n-butyl acrylate), highlighting differences in water interactions and blood compatibility. It implies that poly(2-methoxyethyl acrylate) has superior blood compatibility, which can be reasonably interpreted as a safer alternative to butyl acrylate in this context.",poly(2-methoxyethyl acrylate),
"Butyl Acrylate/2‐Methylene‐1,3‐Dioxepane/Vinyl Acetate Emulsion Terpolymerization: Incorporating Backbone Degradable Linkages into Adhesive Applications",10.1002/cssc.202402478,2024,butyl acrylate,"The abstract discusses the use of the bio-based monomer 2‐methylene‐1,3‐dioxepane (MDO) in the synthesis of terpolymers that are intended to be more sustainable and enhance polymer degradability compared to butyl acrylate. While it does not explicitly state that MDO is a safer alternative, the emphasis on sustainability and degradability suggests a safety advantage over butyl acrylate in the context of environmental impact.",,
Development of acrylate‐based monolithic stationary phases for electrochromatographic separations,10.1002/elps.200500251,2005,butyl acrylate,"The abstract explicitly states that the use of hexyl acrylate rather than butyl acrylate results in highly efficient monoliths, indicating a safer alternative. This suggests that hexyl acrylate may provide safety advantages over butyl acrylate in the context of the developed stationary phases.",hexyl acrylate,
Pentablock copolymers of pluronic F127 and modified poly(2-dimethyl amino)ethyl methacrylate for internalization mechanism and gene transfection studies,10.2147/IJN.S44222,2013,butyl acrylate,"The abstract discusses the synthesis of cationic copolymers, including PF127-p(DMAEMA-AA), which demonstrated the lowest cytotoxicity in 293T cells compared to other formulations. While it does not explicitly state that PF127-p(DMAEMA-AA) is a safer alternative to butyl acrylate, the mention of lower cytotoxicity suggests a safety advantage that can be interpreted as a safer alternative in the context of gene delivery applications where butyl acrylate is typically used.",,
"CVD of Metals Using Alcohols and Metal Acetylacetonates, Part II: Role of Solvent and Characterization of Metal Films Made by Pulsed Spray Evaporation CVD",10.1002/CVDE.200606573,2007,butyl acrylate,"The abstract indicates that alcohol solvents such as methanol, ethanol, and n-propanol enabled the growth of metallic films, while nonalcohol solvents such as n-butyl acrylate failed. This suggests that the alcohol solvents are a safer alternative to butyl acrylate in the context of this application, as they successfully facilitate the desired outcome where butyl acrylate does not.",methanol; ethanol; n-propanol,
Boron subphthalocyanine polymers: Avoiding the small molecule side product and exploring their use in organic light-emitting diodes,10.1002/POLA.27685,2015,butyl acrylate,"The abstract indicates that the side product formed when copolymerizing styrene with n-butyl acrylate can be avoided by using methacrylic acid (MAA) instead. This suggests that MAA is a safer alternative as it does not produce the same undesirable side product, which can be interpreted as a safety advantage in the context of polymer synthesis.",methacrylic acid (MAA),
"Formation of urethane linkage using copolymers of glycidyl methacrylate, methyl methacrylate, and butyl acrylate",10.1016/j.matpr.2022.05.309,2022,butyl acrylate,"The abstract discusses a method for synthesizing polyurethanes that avoids the use of toxic isocyanates, which are known to create complications on exposure. While it does not explicitly name a replacement for butyl acrylate, it implies a safer alternative by highlighting the use of cyclic carbonate and amine chemistry, which is described as sustainable and eco-friendly, suggesting a safety advantage over traditional methods involving butyl acrylate.",,
